date_sampled,address,1st_draw,2nd_draw,3rd_draw,4th_draw,5th_draw,6th_draw,7th_draw,8th_draw,9th_draw,10th_draw,year,month,1st_5th_highest,highest_sample
2016-07-28,51XX S Mulligan Ave,10.3,12.5,15.4,18.1,20.8,20.4,12.9,12.3,12.6,12.4,2016,7,20.8,20.8
2016-07-29,47XX S Greenwood Ave**,9.93,9.5,8.34,9.71,10.5,8.19,10.4,12.6,13.5,13.3,2016,7,10.5,13.5
2016-08-10,14XX W Superior St,148.0,116.0,38.1,19.9,17.1,15.9,15.9,14.9,14.4,14.3,2016,8,148.0,148.0
2016-08-18,34XX S Union Ave**,7.66,7.64,7.3,7.3,7.05,6.94,8.12,10.9,13.6,,2016,8,7.66,13.6
2016-08-18,42XX N Avers Ave,0.0,4.03,10.7,10.9,5.15,8.08,7.99,7.96,7.99,3.61,2016,8,5.15,10.9
2016-08-19,25XX N Central Park Ave,9.36,10.3,20.7,21.0,22.0,31.9,20.3,18.1,21.1,19.0,2016,8,22.0,31.9
2016-08-19,61XX N Ottawa Ave,3.69,6.85,7.18,7.54,6.85,6.76,6.95,7.01,6.94,6.94,2016,8,6.85,7.54
2016-08-20,68XX S Constance Ave**,3.57,5.17,7.57,8.16,9.05,10.2,10.5,11.4,12.4,13.4,2016,8,9.05,13.4
2016-08-22,99XX S Prospect Ave,7.76,10.8,10.1,7.81,7.8,10.3,15.0,16.2,15.9,15.4,2016,8,7.8,16.2
2016-08-23,13XX W Winona St,8.7,12.3,19.2,17.5,18.2,19.0,18.0,15.8,15.4,15.6,2016,8,18.2,19.2
2016-08-23,84XX S Hermitage Ave,9.46,11.4,11.4,11.9,12.4,13.0,12.8,12.0,12.2,11.6,2016,8,12.4,13.0
2016-08-26,103XX S St Louis Ave,0.0,0.0,2.34,2.35,5.64,12.3,13.4,12.7,12.0,10.3,2016,8,5.64,13.4
2016-08-27,18XX W Wellington Ave,5.77,7.0,8.41,9.07,8.44,9.32,11.6,15.7,17.1,16.1,2016,8,8.44,17.1
2016-08-30,61XX S Ellis Ave**,3.71,4.36,4.54,5.15,6.06,6.32,6.26,6.06,5.7,7.24,2016,8,6.06,7.24
2016-08-30,85XX S Dante Ave,6.54,7.33,9.07,9.96,11.8,12.2,11.8,17.4,20.0,20.9,2016,8,11.8,20.9
2016-09-01,12XX W Victoria St,2.67,4.09,4.32,4.26,4.25,4.34,4.22,4.49,4.45,4.8,2016,9,4.25,4.8
2016-09-01,58XX N Overhill Ave,11.6,15.0,23.0,25.8,26.1,25.8,25.5,26.0,25.5,22.6,2016,9,26.1,26.1
2016-09-01,58XX N Overhill Ave**,5.85,6.53,6.74,5.94,6.78,6.52,11.2,25.8,25.6,19.0,2016,9,6.78,25.8
2016-09-03,59XX S Ada St,9.26,10.6,11.1,13.6,14.1,16.5,17.8,15.7,14.8,16.0,2016,9,14.1,17.8
2016-09-08,95XX S Emerald Ave,5.78,7.47,7.8,8.93,8.75,8.42,8.38,7.66,7.32,6.95,2016,9,8.75,8.93
2016-09-09,34XX N Avers Ave,3.98,2.36,2.88,6.44,5.63,5.02,4.15,3.92,3.06,2.76,2016,9,5.63,6.44
2016-09-15,23XX W 110th St,7.95,8.13,8.32,8.82,8.91,9.24,19.6,27.9,28.3,26.0,2016,9,8.91,28.3
2016-09-15,31XX N Osceola Ave,2.89,2.19,3.75,3.34,3.21,3.38,2.97,3.83,5.1,11.1,2016,9,3.21,11.1
2016-09-16,100XX S Washtenaw Ave,2.72,2.73,2.98,3.06,6.33,10.2,10.4,10.4,11.1,11.9,2016,9,6.33,11.9
2016-09-28,103XX S Hamilton Ave,1.24,3.35,3.23,6.19,6.78,6.57,8.94,9.38,8.98,8.49,2016,9,6.78,9.38
2016-09-28,74XX S Claremont Ave,0.0,0.0,2.85,5.71,9.02,10.6,10.8,10.5,9.74,9.9,2016,9,9.02,10.8
2016-09-29,93XX S Oakley Ave,2.07,2.11,3.17,4.95,5.05,5.52,6.22,13.2,9.33,25.1,2016,9,5.05,25.1
2016-09-29,96XX S Prairie Ave,6.59,7.72,10.8,13.8,15.4,14.3,21.5,25.1,26.9,33.7,2016,9,15.4,33.7
2016-10-05,107XX S Spaulding Ave,7.91,7.79,7.05,9.33,9.54,12.1,12.4,12.3,10.8,9.95,2016,10,9.54,12.4
2016-10-05,110XX S Central Park Ave,4.45,2.79,2.99,3.31,6.38,7.29,8.03,8.08,5.82,4.4,2016,10,6.38,8.08
2016-10-06,17XX N Rutherford Ave***,10.7,9.93,11.3,14.0,16.0,17.4,19.5,21.6,32.1,50.0,2016,10,16.0,50.0
2016-10-06,29XX W Catalpa Ave**,2.04,3.01,3.27,3.28,4.08,5.11,3.48,5.32,9.07,9.91,2016,10,4.08,9.91
2016-10-07,92XX S Hamilton Ave,7.8,11.8,12.5,12.1,11.3,16.6,34.1,37.5,34.6,34.6,2016,10,11.3,37.5
